East,North,Level,Au_ppm,target_Au,bloque,y_prob,y_pred
7304.746,7591.771,1206.779,0.021,0,NE,0.20057565420866014,1
7298.535,7608.236,1206.779,0.017,0,NE,0.18943807035684584,1
7314.843,7553.961,1206.779,0.005,0,NE,0.13219973742961882,0
7354.052,7406.034,1280.549,0.032,0,NE,0.23646790385246277,1
7275.33,7627.355,1206.779,0.024,0,NE,0.037853073328733444,0
7276.552,7631.228,1206.779,0.02,0,NE,0.08165616095066071,0
7280.813,7626.337,1206.779,0.012,0,NE,0.1289951652288437,0
7268.085,7641.189,1206.779,0.02,0,NE,0.11852451860904693,0
7259.886,7654.695,1206.779,0.009,0,NE,0.24195050895214082,1
7169.04,7722.022,1026.789,0.006,0,NE,0.03775569833815098,0
7168.444,7722.349,1026.789,0.008,0,NE,0.15667618811130524,0
7359.948,7465.966,1280.549,0.292,1,NE,0.4032226115465164,1
7110.061,7747.009,1026.789,0.005,0,NE,0.16039253100752832,0
7004.949,7857.834,1026.789,0.007,0,NE,0.12443269118666649,0
6756.999,7698.019,1054.389,0.046,0,NE,0.028959150612354278,0
6764.997,7673.952,1054.389,0.047,0,NE,0.015625814348459242,0
7333.999,7453.029,1280.549,0.013,0,NE,0.0790015585720539,0
7878.329,7367.657,1121.959,0.0025,0,NE,0.02895915023982525,0
7827.658,7305.075,1170.169,0.0025,0,NE,0.0651129961013794,0
7753.403,7446.545,1170.169,0.013,0,NE,0.014957265183329582,0
10367.968,8022.029,1192.059,0.0025,0,NE,0.0,0
9436.986,7788.053,1123.439,0.0025,0,NE,0.014500942453742028,0
8431.0,7254.0,1221.999,0.0025,0,NE,0.19343868643045425,1
8006.979,7150.022,1224.319,0.0025,0,NE,0.12665171958506108,0
8054.023,7068.042,1224.319,0.093,0,NE,0.22453682720661164,1
8157.017,7013.962,1317.179,0.013,0,NE,0.2631345748901367,1
8143.953,6998.028,1317.179,0.058,0,NE,0.08805181495845318,0
7865.218,7301.202,1121.959,0.0025,0,NE,0.0033898308873176576,0
8183.008,6994.023,1317.179,0.01,0,NE,0.0692648570984602,0
8189.023,6997.946,1317.179,0.017,0,NE,0.02895914874970913,0
8171.022,7022.044,1317.179,0.005,0,NE,0.010169491171836853,0
6776.562,7590.348,1054.389,0.017,0,NE,0.054025976359844206,0
6746.803,7654.855,1054.389,0.017,0,NE,0.010625814646482467,0
6620.139,7621.084,1054.389,0.006,0,NE,0.027498452365398406,0
6614.474,7625.654,1054.389,0.09,0,NE,0.24364186823368073,1
6568.215,7706.599,1054.389,0.073,0,NE,0.7064095079898834,1
6890.705,8028.199,901.279,0.0025,0,NE,0.028959150612354278,0
6875.539,7952.171,901.279,0.011,0,NE,0.1344665564596653,0
6839.696,7926.911,901.279,0.076,0,NE,0.02794727049767971,0
6847.858,7846.75,1031.859,0.007,0,NE,0.16977811455726624,0
6846.612,7845.824,1031.859,0.078,0,NE,0.26710972040891645,1
6729.996,7747.946,1013.359,0.085,0,NE,0.42567251473665235,1
6754.685,7727.445,1013.359,0.022,0,NE,0.29689604640007017,1
6864.498,7807.703,1031.859,0.03,0,NE,0.1531661782413721,0
6966.877,7891.534,1031.859,0.0025,0,NE,0.14144391603767872,0
7539.928,7445.966,1253.209,0.0025,0,NE,0.049107203260064125,0
7088.075,7888.41,1026.789,0.0025,0,NE,0.0975545335561037,0
6645.285,7494.12,1040.969,0.0025,0,NE,0.05912823267281055,0
6590.512,7503.86,1054.389,0.268,1,NE,0.16564481407403947,0
6586.203,7508.036,1054.389,0.088,0,NE,0.4130312204360962,1
